dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
cost-efficiency,compress,ZLIB,ZLIB,10485760.0,0.038778,0.038817837834,3.9837834000001904e-05,3.9837834000001904e-05,0.10273308061272346
cost-efficiency,decompress,ZLIB,ZLIB,10485760.0,0.008291,0.011544102803,0.0032531028030000006,0.0032531028030000006,39.23655533711254
cost-efficiency,compress,ZLIB,ZLIB,52428800.0,0.194226,0.195131331682,0.0009053316819999935,0.0009053316819999935,0.466122806421382
cost-efficiency,decompress,ZLIB,ZLIB,52428800.0,0.059229,0.058333665133,-0.0008953348669999972,0.0008953348669999972,1.5116494740751951
cost-efficiency,compress,ZLIB,ZLIB,104857600.0,0.390573,0.387612402439,-0.002960597560999978,0.002960597560999978,0.7580138824240227
cost-efficiency,decompress,ZLIB,ZLIB,104857600.0,0.120887,0.124232575297,0.0033455752970000113,0.0033455752970000113,2.767522808076974
cost-efficiency,compress,ZLIB,ZLIB,1048576000.0,3.868568,0.390572994947,-3.4779950050529997,3.4779950050529997,89.90393874562888
cost-efficiency,decompress,ZLIB,ZLIB,1048576000.0,1.294297,0.120886996388,-1.173410003612,1.173410003612,90.66002653270463
cost-efficiency,compress,ZSTD,ZSTD,1048576.0,0.000365,0.002176000038,0.001811000038,0.001811000038,496.16439397260274
cost-efficiency,decompress,ZSTD,ZSTD,1048576.0,0.001302,0.001209000009,-9.299999100000002e-05,9.299999100000002e-05,7.1428564516129045
cost-efficiency,compress,ZSTD,ZSTD,10485760.0,0.002176,0.001982061192,-0.00019393880800000008,0.00019393880800000008,8.91262904411765
cost-efficiency,decompress,ZSTD,ZSTD,10485760.0,0.001209,0.003963979427,0.002754979427,0.002754979427,227.8725746071133
cost-efficiency,compress,ZSTD,ZSTD,52428800.0,0.009169,0.009034667164,-0.0001343328359999993,0.0001343328359999993,1.4650761915148793
cost-efficiency,decompress,ZSTD,ZSTD,52428800.0,0.015795,0.01430766657,-0.0014873334299999996,0.0014873334299999996,9.416482621082618
cost-efficiency,compress,ZSTD,ZSTD,104857600.0,0.017608,0.017670579255,6.257925500000039e-05,6.257925500000039e-05,0.3554024023171308
cost-efficiency,decompress,ZSTD,ZSTD,104857600.0,0.030681,0.031746260822,0.0010652608220000012,0.0010652608220000012,3.472053785730586
cost-efficiency,compress,ZSTD,ZSTD,1048576000.0,0.170699,0.017607999966,-0.153091000034,0.153091000034,89.68476677309182
cost-efficiency,decompress,ZSTD,ZSTD,1048576000.0,0.318869,0.03068099916,-0.28818800084,0.28818800084,90.37818064471617
integrity,hash,BLAKE3,BLAKE3,1048576.0,0.000585,0.002795000095,0.0022100000949999998,0.0022100000949999998,377.777794017094
integrity,hash,BLAKE3,BLAKE3,10485760.0,0.002795,0.003114551073,0.00031955107299999966,0.00031955107299999966,11.432954311270112
integrity,hash,BLAKE3,BLAKE3,52428800.0,0.014357,0.014187444001,-0.00016955599900000083,0.00016955599900000083,1.1809988089433783
integrity,hash,BLAKE3,BLAKE3,104857600.0,0.028428,0.028378946707,-4.9053292999999554e-05,4.9053292999999554e-05,0.17255274025608397
integrity,hash,BLAKE3,BLAKE3,1048576000.0,0.280774,0.028427999467,-0.25234600053300005,0.25234600053300005,89.87513107802005
integrity,hash,HMAC_SHA256,HMAC_SHA256,1048576.0,0.000559,0.005504999775,0.0049459997749999995,0.0049459997749999995,884.7942352415025
integrity,hash,HMAC_SHA256,HMAC_SHA256,10485760.0,0.005505,0.005355632398,-0.00014936760200000027,0.00014936760200000027,2.7133079382379703
integrity,hash,HMAC_SHA256,HMAC_SHA256,52428800.0,0.026674,0.026770332828,9.633282799999948e-05,9.633282799999948e-05,0.36114878908300024
integrity,hash,HMAC_SHA256,HMAC_SHA256,104857600.0,0.053352,0.053297847509,-5.415249099999936e-05,5.415249099999936e-05,0.10150039548657849
integrity,hash,HMAC_SHA256,HMAC_SHA256,1048576000.0,0.532527,0.053351998329,-0.47917500167099997,0.47917500167099997,89.98135337194171
integrity,hash,SHA256,SHA256,1048576.0,0.000555,0.005441999994,0.004886999994,0.004886999994,880.5405394594594
integrity,hash,SHA256,SHA256,10485760.0,0.005442,0.005354387686,-8.761231399999955e-05,8.761231399999955e-05,1.6099285924292457
integrity,hash,SHA256,SHA256,52428800.0,0.026685,0.02671444416,2.944415999999936e-05,2.944415999999936e-05,0.11033974142776601
integrity,hash,SHA256,SHA256,104857600.0,0.053305,0.053283423185,-2.157681500000036e-05,2.157681500000036e-05,0.04047803207954293
integrity,hash,SHA256,SHA256,1048576000.0,0.532055,0.053305000067,-0.47874999993299994,0.47874999993299994,89.98129891327025
integrity,hash,SHA3_256,SHA3_256,1048576.0,0.002223,0.022056000307,0.019833000307000002,0.019833000307000002,892.172753351327
integrity,hash,SHA3_256,SHA3_256,10485760.0,0.022056,0.021963490173,-9.250982700000077e-05,9.250982700000077e-05,0.41943156964091755
