algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,100,12,158.75x,0.656818,0.032726,0.034163,0.000208,0.000094,0.108832
ZLIB,100,13,158.75x,0.662448,0.030218,0.033361,0.000269,0.000165,0.108125
ZLIB,100,14,158.75x,0.656956,0.030797,0.032573,0.000205,0.000102,0.109421
ZLIB,100,15,158.75x,0.657559,0.030811,0.031733,0.000251,0.000155,0.110797
ZLIB,100,16,158.75x,0.656718,0.030031,0.030673,0.000195,0.000092,0.110989
ZLIB,100,17,158.75x,0.658310,0.030498,0.030980,0.000236,0.000148,0.108887
ZLIB,100,18,158.75x,0.661132,0.031235,0.031748,0.000202,0.000103,0.107670
ZLIB,100,19,158.75x,0.657985,0.029884,0.032577,0.000245,0.000156,0.107966
ZLIB,100,20,158.75x,0.657370,0.029549,0.032335,0.000208,0.000120,0.109581
ZLIB,100,21,158.75x,0.658167,0.030360,0.032021,0.000278,0.000169,0.112314
ZLIB,100,22,158.75x,0.657621,0.030150,0.030998,0.000197,0.000096,0.110916
ZLIB,100,23,158.75x,0.658605,0.031090,0.030881,0.000263,0.000171,0.108490
ZLIB,100,24,158.75x,0.657341,0.029607,0.031281,0.000197,0.000094,0.108982
ZLIB,100,25,158.75x,0.658051,0.032948,0.033359,0.000255,0.000164,0.107995
ZLIB,100,26,158.75x,0.657965,0.028886,0.032635,0.000199,0.000097,0.109721
ZLIB,100,27,158.75x,0.658741,0.031582,0.032099,0.000244,0.000158,0.111056
ZLIB,100,28,158.75x,0.657634,0.030709,0.031193,0.000196,0.000098,0.111408
ZLIB,100,29,158.75x,0.658851,0.028658,0.031279,0.000260,0.000161,0.108931
ZLIB,100,30,158.75x,0.657724,0.031586,0.032074,0.000201,0.000094,0.108832
ZLIB,100,31,158.75x,0.658585,0.030150,0.032812,0.000378,0.000240,0.108740
ZLIB,1000,1,159.01x,6.577034,0.290365,0.295796,0.002094,0.002454,1.068064
ZLIB,1000,2,159.01x,6.585810,0.295247,0.314316,0.001722,0.001747,1.092844
