size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
100,10,4,10,0.215636,0.063382,0.118210,0.069508,0.153867,0.034482
1000,4,2,1,1.793226,0.528658,1.079213,0.575751,1.739531,0.819109
1000,4,2,2,1.906130,0.600716,1.114642,0.666122,1.748112,0.903687
1000,4,2,3,1.905066,0.600212,1.127925,0.651285,1.733615,0.900986
1000,4,2,4,1.902066,0.598856,1.130744,0.668175,1.772917,0.904242
1000,4,2,5,1.909141,0.592847,1.113712,0.663109,1.692954,0.889286
1000,4,2,6,1.908004,0.597149,1.132432,0.665532,1.710519,0.897640
1000,4,2,7,1.912652,0.596450,1.132892,0.661173,1.739019,0.897387
1000,4,2,8,1.916267,0.596093,1.148024,0.666500,1.716629,0.900633
1000,4,2,9,1.907689,0.593424,1.129201,0.665242,1.758029,0.901403
1000,4,2,10,1.909715,0.598391,1.109692,0.670667,1.718749,0.914164
1000,8,4,1,2.933628,0.596835,1.125593,0.659174,1.760904,0.909313
1000,8,4,2,2.944473,0.589883,1.174341,0.668245,1.712387,0.908189
1000,8,4,3,2.943759,0.593955,1.130594,0.660912,1.732339,0.909861
1000,8,4,4,2.941726,0.596154,1.142596,0.667442,1.702922,0.919165
1000,8,4,5,2.950749,0.590617,1.140983,0.667468,1.743719,0.911308
1000,8,4,6,2.949288,0.601153,1.101475,0.669311,1.736377,0.902940
1000,8,4,7,2.951341,0.588827,1.095728,0.663840,1.755314,0.907940
1000,8,4,8,2.952440,0.592343,1.132525,0.672520,1.721466,0.902219
1000,8,4,9,2.969052,0.593488,1.125793,0.676212,1.698366,0.918059
1000,8,4,10,2.958757,0.601273,1.135040,0.686030,1.718281,0.910088
1000,10,4,1,2.909232,0.605330,1.112561,0.680077,1.580287,0.827657
1000,10,4,2,2.902577,0.606054,1.121098,0.673233,1.615502,0.819267
1000,10,4,3,2.907348,0.599920,1.154322,0.663199,1.571660,0.806564
1000,10,4,4,2.899510,0.591792,1.167303,0.674562,1.633712,0.827701
1000,10,4,5,2.891073,0.591261,1.114038,0.674512,1.622653,0.823753
1000,10,4,6,2.897445,0.591393,1.113399,0.667990,1.646787,0.821423
1000,10,4,7,2.904946,0.591418,1.126686,0.666437,1.573101,0.830538
1000,10,4,8,2.901159,0.594183,1.142803,0.666587,1.643130,0.832244
1000,10,4,9,2.899738,0.592449,1.186718,0.673129,1.632855,0.824023
1000,10,4,10,2.894415,0.597800,1.150491,0.662494,1.562776,0.838080
