size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
10,10,4,2,0.023395,0.001562,0.006707,0.001886,0.008763,0.002972
10,10,4,3,0.023342,0.001595,0.006422,0.002031,0.008842,0.003066
10,10,4,4,0.023403,0.001556,0.006407,0.002072,0.009082,0.002970
10,10,4,5,0.023489,0.001594,0.006264,0.002049,0.008829,0.003002
10,10,4,6,0.023376,0.001597,0.006480,0.001859,0.009060,0.003003
10,10,4,7,0.023357,0.002674,0.006359,0.002041,0.009166,0.003005
10,10,4,8,0.023423,0.001592,0.006632,0.002016,0.009040,0.002968
10,10,4,9,0.023387,0.001545,0.006196,0.001997,0.009140,0.002980
10,10,4,10,0.023454,0.003674,0.006391,0.004217,0.009018,0.003015
10,10,4,11,0.023395,0.001588,0.006505,0.002033,0.009017,0.003014
10,10,4,12,0.023464,0.001616,0.006273,0.002011,0.009236,0.003003
10,10,4,13,0.023389,0.001591,0.006354,0.002018,0.009086,0.003025
10,10,4,14,0.023380,0.001561,0.006527,0.002007,0.009339,0.002949
10,10,4,15,0.023454,0.001539,0.006424,0.002027,0.009326,0.002980
10,10,4,16,0.023403,0.001608,0.006453,0.002031,0.116373,0.002879
10,10,4,17,0.023430,0.002614,0.006260,0.002091,0.009061,0.002985
10,10,4,18,0.023441,0.001600,0.006374,0.001991,0.009088,0.002973
10,10,4,19,0.023330,0.001649,0.006581,0.001987,0.008851,0.003030
10,10,4,20,0.023373,0.003461,0.005980,0.004072,0.009076,0.002993
10,10,4,21,0.023387,0.001590,0.006496,0.001978,0.009018,0.002971
10,10,4,22,0.023426,0.001819,0.006387,0.001979,0.008923,0.002979
10,10,4,23,0.023469,0.001609,0.006408,0.002049,0.009069,0.002967
10,10,4,24,0.023395,0.001552,0.006235,0.002036,0.008998,0.002983
10,10,4,25,0.023371,0.001570,0.006609,0.001953,0.009148,0.002959
10,10,4,26,0.023400,0.001602,0.005969,0.002016,0.009230,0.002968
10,10,4,27,0.023395,0.001619,0.006373,0.002005,0.009154,0.002933
10,10,4,28,0.023364,0.001597,0.006069,0.002008,0.009013,0.002932
10,10,4,29,0.023464,0.001817,0.006606,0.002018,0.008892,0.003009
10,10,4,30,0.023405,0.001605,0.006297,0.001934,0.009222,0.002987
10,10,4,31,0.023380,0.001563,0.006424,0.001935,0.009313,0.002963
50,4,2,1,0.076150,0.017612,0.361402,0.021485,0.646344,0.029972
50,4,2,2,0.071272,0.018465,0.419716,0.024209,0.457463,0.025643
50,4,2,3,0.080384,0.007010,0.457851,0.023280,0.400494,0.016982
50,4,2,4,0.078245,0.017979,0.411588,0.023177,0.632420,0.014309
50,4,2,5,0.060446,0.019635,0.863664,0.024041,0.748104,0.025496
50,4,2,6,0.065390,0.007077,0.632809,0.011908,0.430003,0.014269
50,4,2,7,0.062850,0.017315,0.069183,0.021581,0.044700,0.014625
50,4,2,8,0.060612,0.020028,0.047144,0.022197,0.045701,0.016865
50,4,2,9,0.067375,0.006982,0.028834,0.012501,0.045201,0.014703
