size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
50,4,2,17,0.068977,0.013365,0.018271,0.020324,0.026114,0.025103
50,4,2,18,0.073306,0.015130,0.016946,0.018168,0.026853,0.025545
50,4,2,19,0.068757,0.015917,0.017946,0.017728,0.029096,0.025563
50,4,2,20,0.071466,0.015832,0.019726,0.018008,0.025548,0.024524
50,4,2,21,0.066586,0.013228,0.019035,0.018117,0.027655,0.025646
50,4,2,22,0.073644,0.015269,0.017673,0.019509,0.025726,0.025553
50,4,2,23,0.072038,0.016464,0.017914,0.017643,0.028717,0.026344
50,4,2,24,0.070802,0.017295,0.017837,0.017549,0.026507,0.025841
50,4,2,25,0.067740,0.013263,0.016480,0.015985,0.025834,0.025831
50,4,2,26,0.071054,0.012376,0.018518,0.019294,0.026519,0.026093
50,4,2,27,0.072848,0.015795,0.017269,0.019404,0.026347,0.025548
50,4,2,28,0.069266,0.015863,0.017965,0.017292,0.028538,0.026479
50,4,2,29,0.070024,0.017677,0.016730,0.016503,0.027209,0.026686
50,4,2,30,0.069977,0.013495,0.018726,0.018290,0.027619,0.025469
50,4,2,31,0.069871,0.016023,0.017314,0.019253,0.028244,0.025940
50,8,4,1,0.122931,0.015615,0.016463,0.019736,0.029001,0.026666
50,8,4,2,0.123446,0.017022,0.018776,0.018686,0.026255,0.025619
50,8,4,3,0.123456,0.013293,0.017924,0.017862,0.023508,0.023180
50,8,4,4,0.124564,0.018178,0.016218,0.018646,0.025528,0.026250
50,8,4,5,0.120291,0.016257,0.016203,0.019259,0.025222,0.023562
50,8,4,6,0.127304,0.015895,0.016003,0.016413,0.024265,0.023884
50,8,4,7,0.123431,0.016300,0.018413,0.016134,0.027300,0.024544
50,8,4,8,0.123917,0.016893,0.017097,0.020306,0.026114,0.025467
50,8,4,9,0.120127,0.016411,0.016589,0.018506,0.025189,0.023384
50,8,4,10,0.122417,0.013269,0.016052,0.017972,0.023896,0.023623
50,8,4,11,0.126658,0.016545,0.019560,0.018803,0.027632,0.025938
50,8,4,12,0.122304,0.016195,0.017488,0.019761,0.025730,0.024246
50,8,4,13,0.125126,0.017806,0.016993,0.016656,0.027277,0.025914
50,8,4,14,0.120178,0.014559,0.016776,0.017050,0.026328,0.025777
50,8,4,15,0.125256,0.012975,0.016060,0.018670,0.027669,0.026574
50,8,4,16,0.126889,0.015368,0.019522,0.018823,0.027364,0.026374
50,8,4,17,0.122763,0.018640,0.016917,0.016795,0.028321,0.029226
50,8,4,18,0.122872,0.017036,0.016433,0.014846,0.023927,0.023940
50,8,4,19,0.123964,0.017076,0.015854,0.016885,0.025355,0.023509
50,8,4,20,0.127259,0.016978,0.016236,0.017807,0.028342,0.025947
50,8,4,21,0.119958,0.017266,0.019838,0.019615,0.029429,0.026330
50,8,4,22,0.122380,0.016674,0.019421,0.021644,0.028232,0.025379
50,8,4,23,0.123022,0.017287,0.018351,0.020250,0.026189,0.023840
50,8,4,24,0.124141,0.017335,0.016762,0.018344,0.027022,0.025887
50,8,4,25,0.120270,0.016692,0.020424,0.021797,0.025429,0.023773
50,8,4,26,0.122347,0.017521,0.016205,0.018815,0.027306,0.025080
50,8,4,27,0.123361,0.017106,0.017540,0.018242,0.029553,0.025703
50,8,4,28,0.124861,0.018214,0.017726,0.019433,0.027712,0.026015
50,8,4,29,0.120470,0.017407,0.018776,0.018454,0.026417,0.026165
50,8,4,30,0.122199,0.013259,0.016109,0.019005,0.028273,0.026105
50,8,4,31,0.126735,0.016144,0.017016,0.018325,0.029419,0.027184
50,10,4,1,0.123385,0.017147,0.015766,0.018379,0.025817,0.025109
50,10,4,2,0.122410,0.017557,0.016406,0.017017,0.027243,0.024487
50,10,4,3,0.120806,0.018313,0.016755,0.016877,0.026024,0.025014
50,10,4,4,0.124077,0.018114,0.020111,0.019787,0.025661,0.024376
50,10,4,5,0.122734,0.018101,0.016816,0.020897,0.025979,0.023727
50,10,4,6,0.119862,0.018205,0.017560,0.018060,0.027838,0.024169
50,10,4,7,0.121858,0.018161,0.019144,0.019626,0.025510,0.024162
50,10,4,8,0.123201,0.018316,0.019775,0.019460,0.025920,0.024294
50,10,4,9,0.121936,0.018185,0.018432,0.021748,0.026259,0.024176
50,10,4,10,0.120232,0.018285,0.017774,0.019085,0.026280,0.024021
50,10,4,11,0.122582,0.018321,0.017946,0.020576,0.026007,0.024481
50,10,4,12,0.123349,0.017926,0.017595,0.018558,0.027615,0.025999
50,10,4,13,0.124219,0.013436,0.017844,0.019524,0.025675,0.025370
50,10,4,14,0.126010,0.016605,0.016566,0.018310,0.026348,0.025649
50,10,4,15,0.123551,0.016297,0.015910,0.018369,0.026752,0.025986
50,10,4,16,0.124565,0.014121,0.016782,0.017753,0.025076,0.023938
50,10,4,17,0.122705,0.016525,0.016572,0.017281,0.026233,0.024521
50,10,4,18,0.122743,0.017524,0.017039,0.019217,0.026230,0.024413
50,10,4,19,0.122532,0.018448,0.017992,0.018126,0.025561,0.023897
50,10,4,20,0.119901,0.013474,0.017788,0.018049,0.023204,0.022271
50,10,4,21,0.122056,0.016428,0.016053,0.018164,0.025732,0.024442
50,10,4,22,0.123110,0.017386,0.017947,0.019985,0.025505,0.025054
50,10,4,23,0.122286,0.017500,0.019670,0.018236,0.025768,0.025306
50,10,4,24,0.119595,0.013597,0.018485,0.018857,0.025658,0.024333
50,10,4,25,0.124108,0.016120,0.018692,0.019373,0.025782,0.024351
50,10,4,26,0.123254,0.017444,0.015343,0.018642,0.026360,0.025203
50,10,4,27,0.124131,0.017604,0.018695,0.018151,0.025604,0.024984
50,10,4,28,0.119936,0.013688,0.016211,0.018137,0.025508,0.024134
50,10,4,29,0.125947,0.017874,0.016464,0.017604,0.026311,0.025044
50,10,4,30,0.123916,0.017384,0.017710,0.019519,0.026400,0.025574
50,10,4,31,0.123756,0.017570,0.018287,0.017641,0.025380,0.024159
100,4,2,1,0.138896,0.029947,0.032209,0.032617,0.047641,0.049068
100,4,2,2,0.145311,0.028830,0.032440,0.035313,0.052959,0.051472
100,4,2,3,0.146569,0.029238,0.029144,0.033602,0.049732,0.049767
100,4,2,4,0.136641,0.028362,0.031147,0.033347,0.047594,0.046600
100,4,2,5,0.141792,0.033549,0.030398,0.034276,0.051205,0.052190
100,4,2,6,0.144283,0.030323,0.032017,0.035809,0.047269,0.048891
100,4,2,7,0.133862,0.030613,0.032119,0.032373,0.056793,0.051700
100,4,2,8,0.135314,0.032817,0.030227,0.035939,0.046208,0.049849
100,4,2,9,0.140182,0.030651,0.032305,0.032797,0.054276,0.050249
100,4,2,10,0.139905,0.032462,0.032159,0.035793,0.051136,0.052604
100,4,2,11,0.132991,0.029766,0.032363,0.031999,0.052797,0.052079
100,4,2,12,0.137081,0.033248,0.032363,0.037859,0.048859,0.051395
100,4,2,13,0.141454,0.032628,0.031271,0.033908,0.054967,0.050779
100,4,2,14,0.141082,0.032020,0.035394,0.037004,0.049756,0.049432
100,4,2,15,0.133084,0.032049,0.033461,0.032857,0.048807,0.054195
100,4,2,16,0.136772,0.034545,0.031565,0.037305,0.049663,0.051205
100,4,2,17,0.140062,0.034745,0.035615,0.033838,0.055906,0.052707
