algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,10,256,14,0.075226,0.079868,0.003359,0.003053,0.003214,0.003501
AES,10,256,15,0.077003,0.077171,0.003328,0.003399,0.003402,0.002996
AES,10,256,16,0.075881,0.082425,0.003340,0.002931,0.003222,0.002911
AES,10,256,17,0.075348,0.079029,0.003368,0.003021,0.003250,0.003550
AES,10,256,18,0.077132,0.079642,0.003393,0.003387,0.003393,0.002962
AES,10,256,19,0.076397,0.080634,0.003301,0.003367,0.003292,0.002957
AES,10,256,20,0.075148,0.078940,0.003389,0.003001,0.003208,0.002975
AES,10,256,21,0.077022,0.082993,0.003383,0.002964,0.003254,0.003079
AES,10,256,22,0.078958,0.080315,0.003369,0.003011,0.003275,0.003077
AES,10,256,23,0.075315,0.082475,0.003332,0.002956,0.003294,0.002943
AES,10,256,24,0.073394,0.080449,0.003403,0.002921,0.003282,0.002930
AES,10,256,25,0.075319,0.078701,0.003409,0.003010,0.003190,0.003512
AES,10,256,26,0.076050,0.080071,0.003311,0.003356,0.003254,0.003043
AES,10,256,27,0.076243,0.082549,0.003445,0.002986,0.003279,0.002891
AES,10,256,28,0.078143,0.081692,0.003360,0.002973,0.003317,0.003506
AES,10,256,29,0.078504,0.081099,0.003328,0.003356,0.003233,0.002932
AES,10,256,30,0.075277,0.080378,0.003294,0.003412,0.003207,0.003067
AES,10,256,31,0.077051,0.079030,0.003381,0.002972,0.003242,0.002948
AES,50,128,1,0.299660,0.306092,0.016112,0.017213,0.016797,0.016152
AES,50,128,2,0.303234,0.319283,0.017108,0.017767,0.016965,0.017340
AES,50,128,3,0.303723,0.330738,0.016903,0.018067,0.018846,0.017319
AES,50,128,4,0.304905,0.322480,0.017677,0.017108,0.017372,0.017987
AES,50,128,5,0.302122,0.323177,0.017598,0.018145,0.015887,0.016396
