algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,10,256,21,0.020498,0.021388,0.005917,0.002094,0.005702,0.002032
AES,10,256,22,0.022867,0.024079,0.005739,0.002044,0.005746,0.002031
AES,10,256,23,0.020386,0.021427,0.005788,0.002043,0.005719,0.002064
AES,10,256,24,0.020778,0.024126,0.005774,0.002082,0.005840,0.002073
AES,10,256,25,0.020311,0.021518,0.005873,0.002052,0.005784,0.002056
AES,10,256,26,0.020430,0.024129,0.005777,0.002021,0.005677,0.001990
AES,10,256,27,0.020370,0.021442,0.005739,0.001992,0.005742,0.002018
AES,10,256,28,0.020322,0.024132,0.005818,0.002082,0.005852,0.002119
AES,10,256,29,0.020270,0.024121,0.005913,0.002078,0.005815,0.001990
AES,10,256,30,0.020343,0.021436,0.005820,0.002057,0.005865,0.002156
AES,10,256,31,0.020696,0.021469,0.005914,0.002126,0.005756,0.002097
AES,50,128,1,0.110912,0.130096,0.027325,0.018822,0.033536,0.020433
AES,50,128,2,0.110619,0.130625,0.029054,0.021394,0.026784,0.020959
AES,50,128,3,0.109366,0.129567,0.027137,0.020534,0.026777,0.021105
AES,50,128,4,0.110719,0.132050,0.027358,0.021139,0.028839,0.021989
AES,50,128,5,0.109523,0.129380,0.027467,0.020643,0.044901,0.020357
AES,50,128,6,0.110641,0.130919,0.028983,0.021599,0.027261,0.020848
AES,50,128,7,0.109402,0.129759,0.027324,0.021012,0.045324,0.020347
AES,50,128,8,0.110634,0.132062,0.027263,0.021281,0.028950,0.021665
AES,50,128,9,0.109754,0.129397,0.386050,0.020005,0.108502,0.019790
AES,50,128,10,0.110981,0.131578,0.449057,0.021032,0.481314,0.020020
AES,50,128,11,0.110297,0.130305,0.427392,0.020899,0.105380,0.019541
AES,50,128,12,0.110960,0.132498,0.948789,0.020429,1.059612,0.020450
AES,50,128,13,0.110473,0.130131,1.045608,0.020339,0.993155,0.019851
AES,50,128,14,0.111161,0.131047,0.984798,0.020870,1.036588,0.019776
AES,50,128,15,0.110556,0.130291,0.934466,0.021117,0.913200,0.019918
AES,50,128,16,0.111525,0.131872,0.867336,0.020580,0.816925,0.019949
AES,50,128,17,0.110474,0.130287,0.727009,0.020147,0.106409,0.019528
AES,50,128,18,0.111316,0.131185,0.689496,0.020257,0.666003,0.020133
AES,50,128,19,0.111384,0.129862,0.026866,0.019845,0.107054,0.019744
AES,50,128,20,0.111089,0.131633,0.150280,0.020145,0.027374,0.020412
AES,50,128,21,0.110478,0.130315,0.165448,0.019706,0.087186,0.020042
AES,50,128,22,0.113704,0.130867,0.027528,0.020054,0.196451,0.019875
AES,50,128,23,0.113255,0.130156,0.027121,0.020321,0.172151,0.019605
AES,50,128,24,0.111304,0.131581,0.159378,0.020585,0.077619,0.020289
AES,50,128,25,0.112369,0.130248,0.026957,0.019895,0.154254,0.020230
AES,50,128,26,0.111644,0.131224,0.187643,0.020046,0.026629,0.068451
AES,50,128,27,0.110655,0.130058,0.105437,0.020311,0.193135,0.019531
AES,50,128,28,0.112959,0.131754,0.026937,0.020113,0.027297,0.020320
AES,50,128,29,0.113184,0.130315,0.026926,0.020179,0.035580,0.019700
AES,50,128,30,0.113946,0.131505,0.027517,0.020201,0.173195,0.019784
AES,50,128,31,0.113157,0.130147,0.026710,0.019841,0.026509,0.019869
AES,50,256,1,0.126364,0.144948,0.027018,0.020115,0.109097,0.020501
AES,50,256,2,0.123868,0.143312,0.229428,0.019922,0.026582,0.019751
AES,50,256,3,0.125139,0.144735,0.158678,0.020540,0.079765,0.019738
AES,50,256,4,0.126652,0.143538,0.026903,0.020013,0.163880,0.019903
AES,50,256,5,0.125133,0.144795,0.188000,0.020452,0.121769,0.020173
AES,50,256,6,0.126762,0.143225,0.027220,0.019808,0.026465,0.019955
AES,50,256,7,0.124684,0.144710,0.173997,0.020107,0.027278,0.020433
AES,50,256,8,0.123953,0.143312,0.159575,0.020023,0.192348,0.020015
AES,50,256,9,0.127173,0.144301,0.027504,0.020097,0.034675,0.019803
AES,50,256,10,0.126745,0.143402,0.026959,0.020228,0.026541,0.019999
AES,50,256,11,0.124739,0.144494,0.152717,0.020034,0.122299,0.019806
AES,50,256,12,0.124293,0.143126,0.189210,0.020354,0.026478,0.019543
AES,50,256,13,0.126291,0.144641,0.068920,0.020161,0.027129,0.020159
AES,50,256,14,0.125108,0.143377,0.026800,0.020008,0.026499,0.019650
AES,50,256,15,0.124680,0.144036,0.096990,0.020261,0.149112,0.020032
AES,50,256,16,0.127002,0.142836,0.026885,0.019825,0.026588,0.019622
AES,50,256,17,0.124445,0.144699,0.125076,0.020226,0.717382,0.020178
AES,50,256,18,0.124127,0.142953,0.131575,0.020190,0.103721,0.019953
AES,50,256,19,0.124915,0.144062,0.168222,0.020565,0.150426,0.020440
AES,50,256,20,0.124032,0.143532,0.170535,0.020082,0.026584,0.019642
AES,50,256,21,0.127594,0.144626,0.052967,0.020035,0.200547,0.020154
AES,50,256,22,0.127083,0.143529,0.026823,0.019615,0.169702,0.020159
AES,50,256,23,0.126130,0.144317,0.027171,0.020103,0.238063,0.019962
AES,50,256,24,0.125237,0.143779,0.067774,0.019760,0.230196,0.019957
AES,50,256,25,0.128620,0.144696,0.027251,0.019778,0.026842,0.019857
AES,50,256,26,0.124932,0.143106,0.107316,0.020129,0.190906,0.019794
AES,50,256,27,0.126669,0.144690,0.027021,0.019884,0.026517,0.019982
AES,50,256,28,0.124293,0.143991,0.219281,0.019880,0.044219,0.019665
AES,50,256,29,0.124816,0.144648,0.243304,0.019850,0.026656,0.020000
AES,50,256,30,0.126789,0.143644,0.026928,0.019964,0.190703,0.019551
AES,50,256,31,0.124996,0.144501,0.152989,0.019966,0.079313,0.019814
AES,100,128,1,0.220408,0.259946,0.340900,0.037719,0.243892,0.037932
AES,100,128,2,0.222890,0.263680,0.194320,0.040236,0.263232,0.039776
AES,100,128,3,0.220857,0.259330,0.183820,0.039261,0.261750,0.039547
AES,100,128,4,0.223046,0.263606,0.197002,0.039637,0.307293,0.039171
AES,100,128,5,0.221042,0.260642,0.198213,0.039263,0.230291,0.039680
AES,100,128,6,0.223063,0.263094,0.191858,0.040151,0.261849,0.039504
AES,100,128,7,0.221054,0.260733,0.188436,0.039506,0.288635,0.039380
AES,100,128,8,0.222764,0.262869,0.290189,0.039681,0.247143,0.039228
AES,100,128,9,0.220271,0.259935,0.321165,0.039142,0.197155,0.039776
AES,100,128,10,0.222287,0.262630,0.209101,0.040051,0.216990,0.039239
AES,100,128,11,0.220643,0.260145,0.263442,0.039290,0.111598,0.040077
AES,100,128,12,0.222186,0.262783,0.123910,0.040381,0.089811,0.039621
AES,100,128,13,0.220620,0.259846,0.083066,0.040195,0.091297,0.039404
AES,100,128,14,0.221749,0.262424,0.083805,0.040325,0.090297,0.039634
AES,100,128,15,0.220111,0.260014,0.083676,0.040310,0.088026,0.039502
AES,100,128,16,0.222113,0.262116,0.081864,0.040418,0.074990,0.040389
AES,100,128,17,0.220583,0.260245,0.085583,0.039934,0.087759,0.039568
AES,100,128,18,0.222182,0.262105,0.084582,0.040815,0.091312,0.039621
AES,100,128,19,0.220566,0.260288,0.083564,0.040461,0.097845,0.039658
AES,100,128,20,0.222287,0.262887,0.084139,0.040381,0.087820,0.039791
AES,100,128,21,0.220608,0.259842,0.084002,0.040141,0.101656,0.039186
AES,100,128,22,0.222282,0.262155,0.085151,0.040596,0.088075,0.039542
AES,100,128,23,0.220459,0.260925,0.084664,0.040186,0.100767,0.039063
AES,100,128,24,0.222096,0.262242,0.083322,0.040400,0.088247,0.039712
AES,100,128,25,0.220301,0.260664,0.084815,0.040185,0.079665,0.039823
AES,100,128,26,0.222282,0.262877,0.082527,0.040553,0.083177,0.040116
AES,100,128,27,0.220498,0.261304,0.083164,0.040289,0.088875,0.039636
AES,100,128,28,0.222119,0.262899,0.093521,0.040308,0.090105,0.039726
AES,100,128,29,0.220544,0.261294,0.083673,0.040282,0.089637,0.039426
AES,100,128,30,0.222355,0.264271,0.084950,0.040413,0.098821,0.038955
AES,100,128,31,0.220032,0.260725,0.093975,0.040002,0.084288,0.039949
AES,100,256,1,0.249173,0.289302,0.083286,0.040439,0.089789,0.039663
AES,100,256,2,0.247599,0.286776,0.082764,0.040201,0.090589,0.039766
AES,100,256,3,0.248962,0.289184,0.082225,0.040344,0.090070,0.039655
AES,100,256,4,0.247790,0.286298,0.085556,0.040140,0.089966,0.039590
AES,100,256,5,0.249986,0.288421,0.095593,0.039771,0.090615,0.040012
AES,100,256,6,0.248337,0.286440,0.089524,0.039831,0.088049,0.039662
AES,100,256,7,0.248997,0.289089,0.084054,0.040335,0.089983,0.039560
AES,100,256,8,0.248035,0.286494,0.082425,0.040416,0.099808,0.039351
AES,100,256,9,0.249353,0.288723,0.082020,0.040603,0.081458,0.040036
AES,100,256,10,0.248459,0.286348,0.084114,0.040014,0.086464,0.040112
AES,100,256,11,0.249289,0.288603,0.083853,0.040352,0.092579,0.039474
AES,100,256,12,0.247738,0.286142,0.083522,0.040125,0.101814,0.039402
AES,100,256,13,0.249294,0.288234,0.082879,0.040575,0.093430,0.039635
AES,100,256,14,0.248454,0.286599,0.083100,0.040384,0.096336,0.039556
AES,100,256,15,0.248573,0.288446,0.082907,0.040349,0.099489,0.039345
AES,100,256,16,0.247318,0.286932,0.086080,0.040090,0.093918,0.040097
