algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA3_256,10,26,0.021859,0.005595,0.001886
SHA3_256,10,27,0.021996,0.005713,0.001888
SHA3_256,10,28,0.022385,0.005696,0.001924
SHA3_256,10,29,0.021847,0.005696,0.001904
SHA3_256,10,30,0.021850,0.005734,0.001891
SHA3_256,10,31,0.022144,0.005675,0.001908
SHA3_256,50,1,0.110741,0.026984,0.019655
SHA3_256,50,2,0.110815,0.027163,0.021191
SHA3_256,50,3,0.108952,0.044897,0.022055
SHA3_256,50,4,0.110278,0.027548,0.022303
SHA3_256,50,5,0.110809,0.027509,0.021715
SHA3_256,50,6,0.108800,0.027213,0.023041
SHA3_256,50,7,0.109239,0.045599,0.022408
SHA3_256,50,8,0.109640,0.028071,0.022894
SHA3_256,50,9,0.108981,0.027697,0.022498
SHA3_256,50,10,0.108765,0.045982,0.022982
SHA3_256,50,11,0.110387,0.027829,0.023052
SHA3_256,50,12,0.109025,0.028325,0.023136
SHA3_256,50,13,0.109002,0.044371,0.022925
SHA3_256,50,14,0.111197,0.027758,0.021851
SHA3_256,50,15,0.108795,0.028402,0.023632
SHA3_256,50,16,0.111350,0.035004,0.022926
SHA3_256,50,17,0.108959,0.028337,0.022607
SHA3_256,50,18,0.110792,0.028167,0.023766
SHA3_256,50,19,0.109538,0.028399,0.022710
SHA3_256,50,20,0.108810,0.046512,0.023671
SHA3_256,50,21,0.109358,0.028433,0.023103
SHA3_256,50,22,0.111310,0.028783,0.023014
SHA3_256,50,23,0.109281,0.044623,0.023107
SHA3_256,50,24,0.109690,0.028931,0.022953
SHA3_256,50,25,0.109808,0.028020,0.022682
SHA3_256,50,26,0.110745,0.045800,0.023436
SHA3_256,50,27,0.108825,0.028890,0.023429
SHA3_256,50,28,0.108652,0.028958,0.023301
SHA3_256,50,29,0.109458,0.028973,0.022994
SHA3_256,50,30,0.109099,0.045294,0.023517
SHA3_256,50,31,0.109580,0.028756,0.023387
SHA3_256,100,1,0.219217,0.086855,0.043650
SHA3_256,100,2,0.219251,0.093721,0.045484
