algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,50,8,158.47x,0.167892,0.062035,0.041901,0.000460,0.000044,0.070958
ZLIB,50,9,158.47x,0.167652,0.056329,0.034459,0.002244,0.000148,0.070928
ZLIB,50,10,158.47x,0.166900,0.056319,0.033648,0.000471,0.000043,0.070565
ZLIB,100,1,158.75x,0.334274,0.113327,0.064242,0.000791,0.000086,0.146320
ZLIB,100,2,158.75x,0.334394,0.113712,0.067348,0.000775,0.000083,0.149574
ZLIB,100,3,158.75x,0.333763,0.114695,0.067987,0.000783,0.000071,0.149582
ZLIB,100,4,158.75x,0.338641,0.117847,0.067568,0.000808,0.000126,0.149311
ZLIB,100,5,158.75x,0.332861,0.126000,0.069756,0.000833,0.000112,0.149468
ZLIB,100,6,158.75x,0.332936,0.117116,0.068469,0.000791,0.000085,0.150678
ZLIB,100,7,158.75x,0.393908,0.115982,0.068560,0.000781,0.000090,0.151724
ZLIB,100,8,158.75x,0.332735,0.115165,0.068635,0.000776,0.000081,0.149503
ZLIB,100,9,158.75x,0.334791,0.122939,0.072050,0.000779,0.000086,0.149388
ZLIB,100,10,158.75x,0.332864,0.119318,0.070193,0.000781,0.000090,0.148245
ZLIB,1000,1,159.01x,3.339667,1.121712,0.600827,0.008449,0.001153,1.529091
ZLIB,1000,2,159.01x,3.531145,1.123437,0.677495,0.007305,0.001189,1.552847
ZLIB,1000,3,159.01x,3.487853,1.178632,0.687044,0.006796,0.001181,1.556574
ZLIB,1000,4,159.01x,3.356134,1.120804,0.680763,0.008586,0.001050,1.551120
ZLIB,1000,5,159.01x,3.827148,1.212974,0.689601,0.035227,0.001275,1.585970
ZLIB,1000,6,159.01x,3.346184,1.212678,0.679916,0.008712,0.001081,1.553535
ZLIB,1000,7,159.01x,3.382764,1.173261,0.685466,0.008745,0.001038,1.550666
ZLIB,1000,8,159.01x,3.367614,1.210619,0.684592,0.032568,0.001308,1.564496
ZLIB,1000,9,159.01x,3.344257,1.173800,0.683292,0.008970,0.001051,1.576957
ZLIB,1000,10,159.01x,3.344686,1.174821,0.687682,0.007477,0.001085,1.554870
BZ2,1,1,1191.56x,0.211484,0.001294,0.106993,0.000141,0.000024,0.102313
BZ2,1,2,1191.56x,0.215520,0.001083,0.000195,0.000138,0.000023,0.009651
BZ2,1,3,1191.56x,0.209003,0.001068,0.000138,0.000139,0.000020,0.009872
BZ2,1,4,1191.56x,0.216658,0.001089,0.000172,0.000149,0.000024,0.009336
BZ2,1,5,1191.56x,0.214924,0.001090,0.000174,0.000217,0.000021,0.009319
BZ2,1,6,1191.56x,0.212540,0.001085,0.000142,0.000156,0.000022,0.009290
BZ2,1,7,1191.56x,0.211787,0.001094,0.000169,0.000137,0.000022,0.009363
BZ2,1,8,1191.56x,0.218288,0.001070,0.000176,0.000155,0.000025,0.011062
BZ2,1,9,1191.56x,0.236406,0.001231,0.000244,0.000147,0.000023,0.009449
BZ2,1,10,1191.56x,0.213637,0.001117,0.000181,0.000135,0.000023,0.010010
BZ2,10,1,1878.50x,2.266628,0.011331,0.001907,0.000163,0.000026,0.105090
BZ2,10,2,1878.50x,2.225230,0.010948,0.002008,0.000181,0.000026,0.108941
BZ2,10,3,1878.50x,2.338122,0.010620,0.002008,0.000172,0.000028,0.105292
BZ2,10,4,1878.50x,2.264169,0.010683,0.002021,0.000169,0.000024,0.116625
BZ2,10,5,1878.50x,2.343297,0.012862,0.001828,0.000175,0.000025,0.106733
BZ2,10,6,1878.50x,2.332859,0.011148,0.002012,0.000166,0.000026,0.102254
BZ2,10,7,1878.50x,2.315947,0.014433,0.001879,0.000163,0.000025,0.103361
BZ2,10,8,1878.50x,2.320978,0.010870,0.002029,0.000165,0.000026,0.101036
BZ2,10,9,1878.50x,2.245093,0.012028,0.001768,0.000196,0.000026,0.098376
BZ2,10,10,1878.50x,2.297401,0.011100,0.001963,0.000183,0.000024,0.106750
BZ2,50,1,1917.59x,11.086931,0.060058,0.030158,0.000177,0.000026,0.550571
BZ2,50,2,1917.59x,11.238286,0.061013,0.034167,0.000167,0.000027,0.594895
BZ2,50,3,1917.59x,10.980903,0.059789,0.033875,0.000212,0.000031,0.594990
BZ2,50,4,1917.59x,10.875207,0.062393,0.033820,0.000182,0.000026,0.586067
BZ2,50,5,1917.59x,10.919678,0.062830,0.036986,0.011471,0.000138,0.544421
BZ2,50,6,1917.59x,11.116000,0.057307,0.034301,0.000198,0.000026,0.572152
BZ2,50,7,1917.59x,11.127294,0.060944,0.033718,0.000171,0.000026,0.566611
BZ2,50,8,1917.59x,10.992874,0.063401,0.033740,0.000169,0.000026,0.560847
BZ2,50,9,1917.59x,11.095598,0.058604,0.033631,0.000164,0.000027,0.530326
BZ2,50,10,1917.59x,11.076642,0.063311,0.033924,0.000170,0.000025,0.582623
BZ2,100,1,1930.23x,22.415899,0.123581,0.063686,0.000214,0.000031,1.122870
BZ2,100,2,1930.23x,22.022407,0.119079,0.067469,0.000211,0.000031,1.152862
BZ2,100,3,1930.23x,22.275817,0.123457,0.067170,0.000228,0.000031,1.145899
BZ2,100,4,1930.23x,22.183792,0.123899,0.075696,0.000222,0.000032,1.138805
BZ2,100,5,1930.23x,22.209337,0.121364,0.066688,0.000220,0.000028,1.169508
BZ2,100,6,1930.23x,22.390480,0.121329,0.066971,0.000198,0.000039,1.170521
BZ2,100,7,1930.23x,21.705374,0.123505,0.068264,0.000211,0.000031,1.168932
BZ2,100,8,1930.23x,22.170962,0.122923,0.068763,0.000224,0.000032,1.130501
BZ2,100,9,1930.23x,22.327013,0.122120,0.067236,0.000232,0.000046,1.124151
BZ2,100,10,1930.23x,22.228072,0.115803,0.075294,0.000224,0.000031,1.110360
BZ2,1000,1,1937.27x,223.924099,1.153583,0.607561,0.000697,0.000099,11.410114
BZ2,1000,2,1937.27x,230.318064,1.208445,0.681173,0.000702,0.000071,11.290656
BZ2,1000,3,1937.27x,230.322196,1.172084,0.683991,0.000689,0.000082,11.449783
BZ2,1000,4,1937.27x,224.405708,1.208463,0.684240,0.000754,0.000077,11.242932
BZ2,1000,5,1937.27x,233.456398,1.167693,0.683749,0.000699,0.000088,11.896238
BZ2,1000,6,1937.27x,220.758151,1.171252,0.699372,0.000708,0.000078,11.460596
BZ2,1000,7,1937.27x,227.442865,1.188304,0.677331,0.000712,0.000082,11.403081
BZ2,1000,8,1937.27x,222.425450,1.172268,0.683001,0.000708,0.000080,11.649293
BZ2,1000,9,1937.27x,224.803038,1.128498,0.677894,0.000689,0.000084,11.553107
BZ2,1000,10,1937.27x,220.820603,1.122251,0.672560,0.000697,0.000075,11.381001
LZMA,1,1,2545.09x,0.028588,0.001083,0.093539,0.000141,0.000038,0.092101
LZMA,1,2,2545.09x,0.027154,0.001105,0.000173,0.000145,0.000034,0.000439
LZMA,1,3,2545.09x,0.021879,0.001091,0.000167,0.000159,0.000034,0.000438
LZMA,1,4,2545.09x,0.021414,0.001073,0.000178,0.000154,0.000034,0.003473
LZMA,1,5,2545.09x,0.027761,0.001078,0.000138,0.000142,0.000035,0.000843
LZMA,1,6,2545.09x,0.025360,0.001073,0.000187,0.000138,0.000033,0.001172
LZMA,1,7,2545.09x,0.021698,0.001076,0.000178,0.000138,0.000032,0.002924
LZMA,1,8,2545.09x,0.027636,0.001120,0.000164,0.000138,0.000033,0.000805
LZMA,1,9,2545.09x,0.024988,0.001110,0.000183,0.000159,0.000040,0.001206
LZMA,1,10,2545.09x,0.021624,0.001082,0.000191,0.000134,0.000032,0.002931
LZMA,10,1,5851.43x,0.199860,0.010946,0.001860,0.000150,0.000021,0.006270
LZMA,10,2,5851.43x,0.190729,0.010320,0.001924,0.000134,0.000021,0.004438
LZMA,10,3,5851.43x,0.191933,0.010140,0.001811,0.000138,0.000022,0.004412
LZMA,10,4,5851.43x,0.190780,0.010246,0.001749,0.000139,0.000023,0.006033
LZMA,10,5,5851.43x,0.190508,0.010327,0.001699,0.000154,0.000023,0.004444
LZMA,10,6,5851.43x,0.190918,0.010302,0.001787,0.000146,0.000023,0.004546
LZMA,10,7,5851.43x,0.192436,0.010430,0.001827,0.000138,0.000022,0.004390
LZMA,10,8,5851.43x,0.190147,0.010421,0.001703,0.000131,0.000022,0.004379
LZMA,10,9,5851.43x,0.190621,0.010489,0.001946,0.000150,0.000022,0.004401
LZMA,10,10,5851.43x,0.189516,0.010467,0.001641,0.000135,0.000022,0.004382
LZMA,50,1,6643.28x,0.821504,0.055343,0.028736,0.000162,0.000034,0.051777
LZMA,50,2,6643.28x,0.830708,0.054687,0.031484,0.000155,0.000023,0.064588
LZMA,50,3,6643.28x,0.826873,0.054724,0.031462,0.000163,0.000025,0.076601
LZMA,50,4,6643.28x,0.826858,0.056432,0.032591,0.000157,0.000023,0.062995
LZMA,50,5,6643.28x,0.825241,0.055150,0.032490,0.000145,0.000023,0.063466
LZMA,50,6,6643.28x,0.825416,0.052884,0.033330,0.000150,0.000023,0.064545
LZMA,50,7,6643.28x,0.826434,0.053960,0.032281,0.000153,0.000027,0.063932
LZMA,50,8,6643.28x,0.829228,0.053499,0.032445,0.000154,0.000024,0.076203
LZMA,50,9,6643.28x,0.825390,0.056210,0.032628,0.000155,0.000022,0.063950
LZMA,50,10,6643.28x,0.829539,0.055819,0.032715,0.000154,0.000024,0.063610
LZMA,100,1,6758.03x,1.633699,0.110775,0.062319,0.000165,0.000039,0.138043
LZMA,100,2,6758.03x,1.604974,0.109347,0.070047,0.000168,0.000024,0.126527
LZMA,100,3,6758.03x,1.611647,0.112227,0.066602,0.000166,0.000025,0.154559
LZMA,100,4,6758.03x,1.610576,0.113244,0.066720,0.000188,0.000025,0.140577
LZMA,100,5,6758.03x,1.607076,0.118269,0.067258,0.000166,0.000037,0.152047
LZMA,100,6,6758.03x,1.616774,0.117148,0.067163,0.000159,0.000025,0.140709
LZMA,100,7,6758.03x,1.612084,0.118400,0.067108,0.000184,0.000025,0.153065
LZMA,100,8,6758.03x,1.615275,0.117741,0.068141,0.000159,0.000026,0.142795
LZMA,100,9,6758.03x,1.613143,0.117258,0.069330,0.000171,0.000025,0.153418
LZMA,100,10,6758.03x,1.612415,0.114829,0.067414,0.000157,0.000024,0.140952
LZMA,1000,1,6862.95x,15.791682,1.127283,0.594127,0.000308,0.000041,1.396078
LZMA,1000,2,6862.95x,15.830317,1.163215,0.685581,0.000314,0.000038,1.503000
LZMA,1000,3,6862.95x,15.886932,1.197914,0.680836,0.000317,0.000043,1.519145
LZMA,1000,4,6862.95x,15.805614,1.225145,0.686493,0.000317,0.000038,1.490872
LZMA,1000,5,6862.95x,15.858867,1.166451,0.692168,0.000309,0.000039,1.484802
LZMA,1000,6,6862.95x,15.849678,1.156383,0.680491,0.000307,0.000038,1.490607
LZMA,1000,7,6862.95x,15.824349,1.178209,0.680676,0.000332,0.000039,1.512393
LZMA,1000,8,6862.95x,15.833476,1.181806,0.679820,0.000318,0.000038,1.489007
LZMA,1000,9,6862.95x,15.788594,1.147534,0.681346,0.000302,0.000038,1.480603
