algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,10,20,154.49x,0.038521,0.005526,0.003911,0.000171,0.000019,0.009413
ZLIB,10,21,154.49x,0.038480,0.005480,0.002082,0.000164,0.000017,0.009385
ZLIB,10,22,154.49x,0.038713,0.005435,0.002040,0.000173,0.000020,0.007962
ZLIB,10,23,154.49x,0.038536,0.005476,0.002055,0.000169,0.000019,0.007096
ZLIB,10,24,154.49x,0.038639,0.005572,0.002098,0.000160,0.000017,0.007089
ZLIB,10,25,154.49x,0.038997,0.005584,0.002138,0.000168,0.000017,0.007643
ZLIB,10,26,154.49x,0.038500,0.005626,0.001992,0.000168,0.000016,0.007017
ZLIB,10,27,154.49x,0.038448,0.005980,0.002073,0.000167,0.000017,0.007040
ZLIB,10,28,154.49x,0.038614,0.005973,0.002025,0.000167,0.000016,0.007416
ZLIB,10,29,154.49x,0.038629,0.005916,0.002054,0.000170,0.000017,0.007007
ZLIB,10,30,154.49x,0.038565,0.005937,0.001991,0.000162,0.000017,0.006996
ZLIB,10,31,154.49x,0.038593,0.005682,0.004110,0.000168,0.000020,0.009364
ZLIB,50,1,158.47x,0.191956,0.028399,0.019563,0.000296,0.000029,0.050681
ZLIB,50,2,158.47x,0.194549,0.027207,0.020747,0.000286,0.000040,0.061800
ZLIB,50,3,158.47x,0.192553,0.027353,0.020885,0.000310,0.000032,0.059290
ZLIB,50,4,158.47x,0.193506,0.042346,0.020393,0.000306,0.000031,0.058693
ZLIB,50,5,158.47x,0.192934,0.027089,0.020821,0.000296,0.000039,0.059254
ZLIB,50,6,158.47x,0.202017,0.026842,0.020830,0.000298,0.000030,0.065305
ZLIB,50,7,158.47x,0.213885,0.030255,0.023131,0.000494,0.000074,0.065453
ZLIB,50,8,158.47x,0.193942,0.041124,0.020710,0.000305,0.000030,0.058760
ZLIB,50,9,158.47x,0.192699,0.028279,0.021093,0.000314,0.000040,0.058729
ZLIB,50,10,158.47x,0.192907,0.027841,0.020906,0.000299,0.000030,0.058558
ZLIB,50,11,158.47x,0.193317,0.027624,0.020917,0.000300,0.000039,0.059063
ZLIB,50,12,158.47x,0.193888,0.027896,0.020826,0.000302,0.000031,0.058588
ZLIB,50,13,158.47x,0.192861,0.027672,0.020917,0.000330,0.000044,0.059082
ZLIB,50,14,158.47x,0.193880,0.028065,0.020891,0.000287,0.000032,0.058613
ZLIB,50,15,158.47x,0.192798,0.027237,0.020973,0.000346,0.000042,0.059828
